p_noise,score,label,round
0.125,-0.10775907175456467,-1,36
0.0625,0.3439912276594994,1,36
0.09375,0.09935591287905998,1,36
0.109375,-0.008566063761026532,-1,36
0.1015625,0.04426444132009211,1,36
0.10546875,0.017571569736086312,1,36
0.107421875,0.004433966252711752,1,36
0.1083984375,-0.0020831686309550346,-1,36
0.10791015625,0.001171109260679204,1,36
0.108154296875,-0.00045710087382411224,-1,36
0.1080322265625,0.0003567362464753643,1,36
0.10809326171875,-5.024928168451126e-05,-1,36
0.108062744140625,0.00015322673805218123,1,36
0.1080780029296875,5.148454239001232e-05,1,36
0.10808563232421875,6.165839416816254e-07,1,36
0.10808944702148438,-2.4816610470157485e-05,-1,36
0.10808753967285156,-1.210007866503382e-05,-1,36
0.10808658599853516,-5.741763712041603e-06,-1,36
0.10808610916137695,-2.5625939730211655e-06,-1,36
0.0,0.984252377957441,1,40
0.5,-1.034169902668333,-1,40
0.25,-0.7045459739026635,-1,40
0.125,-0.15775200273779122,-1,40
0.0625,0.31620408611576845,1,40
0.09375,0.058170936669643014,1,40
0.109375,-0.054688739899295125,-1,40
0.1015625,0.00047234767121628884,1,40
0.10546875,-0.027419767346865243,-1,40
0.103515625,-0.013552298915974648,-1,40
0.1025390625,-0.006559710429673737,-1,40
0.10205078125,-0.003048626054889425,-1,40
0.101806640625,-0.0012893767344615004,-1,40
0.1016845703125,-0.0004088240891160222,-1,40
0.10162353515625,3.1684380188856665e-05,1,40
0.101654052734375,-0.00018858920449238425,-1,40
0.1016387939453125,-7.845724999477888e-05,-1,40
0.10163116455078125,-2.3387644405570285e-05,-1,40
0.10162734985351562,4.148065510856114e-06,1,40
0.10162925720214844,-9.61986504188772e-06,-1,40
0.10162830352783203,-2.7359186645092848e-06,-1,40
0.10162782669067383,7.060686986193332e-07,1,40
0.0,0.9646203792399837,1,44
0.5,-1.0491548589968256,-1,44
0.25,-0.7265345663244067,-1,44
0.125,-0.17304904878849714,-1,44
0.0625,0.30208895661153656,1,44
0.09375,0.04399193057163875,1,44
0.109375,-0.06932778998278544,-1,44
0.1015625,-0.013908091606344541,-1,44
0.09765625,0.014726727903413783,1,44
0.099609375,0.00033116897237106535,1,44
0.1005859375,-0.006807917945738318,-1,44
0.10009765625,-0.0032432487081393013,-1,44
0.099853515625,-0.0014572596829325324,-1,44
0.0997314453125,-0.0005633504666067157,-1,44
0.09967041015625,-0.0001161670446516716,-1,44
0.099639892578125,0.00010748188701303896,1,44
0.0996551513671875,-4.347347722477579e-06,-1,44
0.09964752197265625,5.156607738077135e-05,1,44
0.09965133666992188,2.3609066767349418e-05,1,44
0.09965324401855469,9.630785007708198e-06,1,44
0.0996541976928711,2.6417000136280677e-06,1,44
0.0996546745300293,-8.528285113662548e-07,-1,44
0.0,0.8807611310179115,1,48
0.5,-1.0398053909046736,-1,48
0.25,-0.6582889235255042,-1,48
0.125,-0.14918568045905167,-1,48
0.0625,0.2794372315312825,1,48
0.09375,0.04657508982827974,1,48
0.109375,-0.055599097035609835,-1,48
0.1015625,-0.005626918714337625,-1,48
0.09765625,0.020190043106174338,1,48
0.099609375,0.00721122169722066,1,48
0.1005859375,0.0007746496120690782,1,48
0.10107421875,-0.002430499647630535,-1,48
0.100830078125,-0.0008290175871326078,-1,48
0.1007080078125,-2.7457291899235514e-05,-1,48
0.10064697265625,0.00037352781373201083,1,48
0.100677490234375,0.00017301817686088405,1,48
0.1006927490234375,7.277617178380602e-05,1,48
0.10070037841796875,2.2658372307526875e-05,1,48
0.10070419311523438,-2.399726699575666e-06,-1,48
0.10070228576660156,1.0129256077684445e-05,1,48
0.10070323944091797,3.864748007620378e-06,1,48
0.10070371627807617,7.325064834695638e-07,1,48
0.0,1.0154339358878208,1,52
0.5,-1.0380254179398123,-1,52
0.25,-0.6710795666062133,-1,52
0.125,-0.14042284558384743,-1,52
0.0625,0.33071423217461304,1,52
0.09375,0.07260090895201943,1,52
0.109375,-0.03908174148194443,-1,52
0.1015625,0.015410994794976984,1,52
0.10546875,-0.012165394036478983,-1,52
0.103515625,0.001539413207763074,1,52
0.1044921875,-0.005333726409211259,-1,52
0.10400390625,-0.001902354414831775,-1,52
0.103759765625,-0.00018277178698866692,-1,52
0.1036376953125,0.0006779951980946386,1,52
0.10369873046875,0.00024753035454194716,1,52
0.103729248046875,3.235894940645245e-05,1,52
0.1037445068359375,-7.521150196110327e-05,-1,52
0.10373687744140625,-2.1427547123531454e-05,-1,52
0.10373306274414062,5.465383423164383e-06,1,52
0.10373497009277344,-7.98116127853632e-06,-1,52
0.10373401641845703,-1.257908784468853e-06,-1,52
0.10373353958129883,2.1037323547634657e-06,1,52
0.0,0.8856335898514818,1,56
0.5,-1.076765598332042,-1,56
0.25,-0.6976097645149131,-1,56
0.125,-0.1712794490969053,-1,56
0.0625,0.2703309035267052,1,56
0.09375,0.03072698857388323,1,56
0.109375,-0.07464438209441782,-1,56
0.1015625,-0.023090792416150085,-1,56
0.09765625,0.0035299479812183066,1,56
0.099609375,-0.009851813589329739,-1,56
0.0986328125,-0.0031788610780578708,-1,56
0.09814453125,0.00017105129968686406,1,56
0.098388671875,-0.001505026665415743,-1,56
0.0982666015625,-0.0006672682845574318,-1,56
0.09820556640625,-0.0002481786625696536,-1,56
0.098175048828125,-3.8581226439626803e-05,-1,56
0.0981597900390625,6.6230650066057e-05,1,56
0.09816741943359375,1.382361521251596e-05,1,56
0.09817123413085938,-1.2379079759261558e-05,-1,56
0.09816932678222656,7.221991893402446e-07,1,56
0.09817028045654297,-5.828457419143618e-06,-1,56
0.09816980361938477,-2.5531333984751825e-06,-1,56
0.0,0.993770344344381,1,60
0.5,-1.0440262371048872,-1,60
0.25,-0.5955095606064293,-1,60
0.125,-0.05404142209743035,-1,60
0.0625,0.38661215810695526,1,60
0.09375,0.1483124339663302,1,60
0.109375,0.04296492548070252,1,60
0.1171875,-0.00654247220369375,-1,60
0.11328125,0.01795545112477681,1,60
0.115234375,0.005643140661634849,1,60
0.1162109375,-0.00046542903736401797,-1,60
0.11572265625,0.002584905773970192,1,60
0.115966796875,0.0010587520127129935,1,60
0.1160888671875,0.00029641504291122445,1,60
0.11614990234375,-8.456859040739673e-05,-1,60
0.116119384765625,0.00010590782570552015,1,60
0.1161346435546875,1.0665767794293401e-05,1,60
0.11614227294921875,-3.695237373491089e-05,-1,60
0.11613845825195312,-1.3143543582394557e-05,-1,60
0.11613655090332031,-1.238948047488364e-06,-1,60
0.1161355972290039,4.713394834876539e-06,1,60
0.11613607406616211,1.7372196339238144e-06,1,60
0.0,0.7652897967842578,1,64
0.5,-1.0598020946353865,-1,64
0.25,-0.6987585218067671,-1,64
0.125,-0.1921771109170095,-1,64
0.0625,0.2163389241566127,1,64
0.09375,-0.003577622018151594,-1,64
0.078125,0.10224016745814635,1,64
0.0859375,0.04832505075547999,1,64
0.08984375,0.022125711838614892,1,64
0.091796875,0.009212484737016968,1,64
0.0927734375,0.002802096146365951,1,64
0.09326171875,-0.00039158989952903234,-1,64
0.093017578125,0.0012042955281861278,1,64
0.0931396484375,0.0004061135223514256,1,64
0.09320068359375,7.202001767625532e-06,1,64
0.093231201171875,-0.00019220889962290322,-1,64
0.0932159423828125,-9.250718682185521e-05,-1,64
0.09320831298828125,-4.265352702659264e-05,-1,64
0.09320449829101562,-1.772599625926574e-05,-1,64
0.09320259094238281,-5.26205565321014e-06,-1,64
0.0932016372680664,9.699584551103868e-07,1,64
0.09320211410522461,-2.14605225035136e-06,-1,64
0.0,0.9489182228004973,1,68
0.5,-1.0531233878893884,-1,68
0.25,-0.6184306402684485,-1,68
0.125,-0.078799445314514,-1,68
0.0625,0.35629245574572166,1,68
0.09375,0.12155263894624668,1,68
0.109375,0.017364268168043262,1,68
0.1171875,-0.03168644385185204,-1,68
0.11328125,-0.007407513008913069,-1,68
0.111328125,0.004916239058841532,1,68
0.1123046875,-0.0012611048154840265,-1,68
0.11181640625,0.0018236918292153792,1,68
0.112060546875,0.00028032572631464525,1,68
0.1121826171875,-0.0004906313594910117,-1,68
0.11212158203125,-0.00010521328658930074,-1,68
0.112091064453125,8.754110032804796e-05,1,68
0.1121063232421875,-8.839872760457723e-06,-1,68
0.11209869384765625,3.934966884444613e-05,1,68
0.11210250854492188,1.5254661811736625e-05,1,68
0.11210441589355469,3.207335468102812e-06,1,68
0.1121053695678711,-2.81628340959017e-06,-1,68
0.11210489273071289,1.9552233854192025e-07,1,68
0.0,1.0277897556665383,1,72
0.5,-1.0490043178760418,-1,72
0.25,-0.710838447857115,-1,72
0.125,-0.13960440434629495,-1,72
0.0625,0.3486490386021819,1,72
0.09375,0.08358881412894026,1,72
0.109375,-0.032904490711516576,-1,72
0.1015625,0.02407714553575646,1,72
0.10546875,-0.004724745337688407,-1,72
0.103515625,0.009597789052434802,1,72
0.1044921875,0.0024169997516516606,1,72
0.10498046875,-0.0011587432636377404,-1,72
0.104736328125,0.0006279093705428007,1,72
0.1048583984375,-0.0002657215078647468,-1,72
0.10479736328125,0.0001810177713827965,1,72
0.104827880859375,-4.237090577707825e-05,-1,72
0.1048126220703125,6.931867311332773e-05,1,72
0.10482025146484375,1.3472693783489476e-05,1,72
0.10482406616210938,-1.4449403462180044e-05,-1,72
0.10482215881347656,-4.884292059692541e-07,-1,72
0.10482120513916016,6.492113697076363e-06,1,72
0.10482168197631836,3.0018375971607725e-06,1,72
0.0,0.9797326068464665,1,76
0.5,-1.0479471980382604,-1,76
0.25,-0.7117911787414706,-1,76
0.125,-0.16401418469961615,-1,76
0.0625,0.3104403949877248,1,76
0.09375,0.052109155694948006,1,76
0.109375,-0.060858291666284425,-1,76
