noise_type,round,max_noise,clean_score
white,208,0.5034675598144531,1.196929786562053
bitflip,212,0.0867624282836914,1.0235856487101354
white,212,0.46583080291748047,1.0235856487101354
bitflip,216,0.17797565460205078,1.0895544339085046
white,216,0.4277200698852539,1.0895544339085046
bitflip,220,0.1803112030029297,0.9793846733158735
white,220,0.3934135437011719,0.9793846733158735
bitflip,224,0.09230709075927734,1.0655610366201078
white,224,0.4672365188598633,1.0655610366201078
bitflip,228,0.08481884002685547,1.1006052498716765
white,228,0.48729896545410156,1.1006052498716765
bitflip,232,0.07259273529052734,0.6576864744225195
white,232,0.33573150634765625,0.6576864744225195
bitflip,236,0.10180473327636719,1.0170997648711253
white,236,0.4454965591430664,1.0170997648711253
bitflip,240,0.08227062225341797,1.039434768248346
white,240,0.47441864013671875,1.039434768248346
bitflip,244,0.08759307861328125,1.2346692171680627
white,244,0.4990501403808594,1.2346692171680627
bitflip,248,0.048580169677734375,0.6468093170320801
white,248,0.34812259674072266,0.6468093170320801
bitflip,252,0.08907318115234375,1.2421840947036045
white,252,0.5181236267089844,1.2421840947036045
bitflip,256,0.08954048156738281,1.045820983692245
white,256,0.46027565002441406,1.045820983692245
bitflip,260,0.1426105499267578,1.1967779482063452
white,260,0.44074344635009766,1.1967779482063452
bitflip,264,0.09893417358398438,0.8507795510740968
white,264,0.3942451477050781,0.8507795510740968
bitflip,268,0.09049224853515625,1.201106154863414
white,268,0.49433135986328125,1.201106154863414
bitflip,272,0.10372447967529297,1.0796002678833336
white,272,0.46663379669189453,1.0796002678833336
bitflip,276,0.18570613861083984,1.026640711662125
white,276,0.40084266662597656,1.026640711662125
bitflip,280,0.11965560913085938,0.9077859592450324
white,280,0.4185981750488281,0.9077859592450324
bitflip,284,0.07661914825439453,1.0450800059417344
white,284,0.47153377532958984,1.0450800059417344
bitflip,288,0.09276771545410156,1.162532868400236
white,288,0.49301719665527344,1.162532868400236
bitflip,292,0.05866813659667969,0.69885088614753
white,292,0.3465309143066406,0.69885088614753
bitflip,296,0.08609771728515625,1.0675692118715245
white,296,0.47278881072998047,1.0675692118715245
