p_noise,score,entropy,label,round
0.493560791015625,4.9701424376324965e-05,2.8484836749549625,1,24
0.4935760498046875,1.5061685418649162e-05,2.8484924105373857,1,24
0.49358367919921875,-2.2581840595226055e-06,2.84849677823682,-1,24
0.4935798645019531,6.401750679785323e-06,2.8484945943947513,1,24
0.49358177185058594,2.0717833100203364e-06,2.8484956863176976,1,24
0.49358272552490234,-9.320037475113452e-08,2.8484962322777365,-1,24
0.49358224868774414,9.892914678566456e-07,2.8484959592978356,1,24
0.0,0.9247916946009809,0.5864536215425034,1,28
0.5,-0.13913311146078366,2.3604437105464813,-1,28
0.25,0.3928292915700984,1.6699261401006869,1,28
0.375,0.12684809005465736,2.046877964246868,1,28
0.4375,-0.006142510703062598,2.2110612950178945,-1,28
0.40625,0.060352789675797824,2.130864035450695,1,28
0.421875,0.02710513948636728,2.1714296686944135,1,28
0.4296875,0.010481314391651786,2.1913615069793253,1,28
0.43359375,0.002169401844294372,2.201240322389543,1,28
0.435546875,-0.001986554429384002,2.2061580287944933,-1,28
0.4345703125,9.142370745540696e-05,2.2037009818811977,1,28
0.43505859375,-0.0009475653609640755,2.2049299567508576,-1,28
0.434814453125,-0.00042807082675477837,2.2043155821891305,-1,28
0.4346923828125,-0.00016832355965035184,2.204008310255926,-1,28
0.43463134765625,-3.844992609747244e-05,2.203854653124064,-1,28
0.434600830078125,2.6486890678967256e-05,2.203777819266545,1,28
0.4346160888671875,-5.981517709807704e-06,2.203816236636278,-1,28
0.43460845947265625,1.0252686484912843e-05,2.203797028061656,1,28
0.4346122741699219,2.135584387774614e-06,2.2038066323765277,1,28
0.4346141815185547,-1.9229666603504114e-06,2.2038114345132933,-1,28
0.4346132278442383,1.0630886349005664e-07,2.2038090334466327,1,28
0.4346137046813965,-9.083288987632443e-07,2.203810233980394,-1,28
0.0,1.0585429518858651,1.83662375750669,1,32
0.5,-0.07900129508303189,2.726591096169707,-1,32
0.25,0.48977082840141684,2.3900699401459886,1,32
0.375,0.2053847666591928,2.577149621527745,1,32
0.4375,0.06319173578808024,2.656205584817821,1,32
0.46875,-0.007904779647475824,2.692450308609748,-1,32
0.453125,0.02764347807030232,2.6745944203422054,1,32
0.4609375,0.009869349211412803,2.6835885191302555,1,32
0.46484375,0.000982284781968934,2.688035897142718,1,32
0.466796875,-0.003461247432753334,2.6902472169273244,-1,32
0.4658203125,-0.001239481325392422,2.6891425863867617,-1,32
0.46533203125,-0.00012859827171141092,2.68858949920815,-1,32
0.465087890625,0.00042684325512842847,2.6883127625495082,1,32
0.4652099609375,0.00014912249170850878,2.688451146970693,1,32
0.46527099609375,1.0262109998437907e-05,2.6885203271121805,1,32
0.465301513671875,-5.9168080857041616e-05,2.688554914165829,-1,32
0.4652862548828125,-2.4452985429190832e-05,2.6885376208904246,-1,32
0.46527862548828125,-7.095437715820552e-06,2.6885289740641576,-1,32
0.4652748107910156,1.5833361419748115e-06,2.688524650603883,1,32
0.46527671813964844,-2.7560507867008255e-06,2.6885268123379493,-1,32
0.46527576446533203,-5.863573231401631e-07,2.688525731471898,-1,32
0.46527528762817383,4.984894090842573e-07,2.688525191038136,1,32
0.0,1.0797941836092522,1.888073892085752,1,36
0.5,-0.038065134207811324,2.762420075064149,-1,36
0.25,0.5208645247007206,2.4521977261603083,1,36
0.375,0.241399695246455,2.6266533390500406,1,36
0.4375,0.1016672805193215,2.6988801119713806,1,36
0.46875,0.0318010731557552,2.7316924079575045,1,36
0.484375,-0.0031320305260280623,2.7473121887460485,-1,36
0.4765625,0.01433452131486379,2.7395668319757993,1,36
0.48046875,0.005601245394418086,2.7434555734997415,1,36
0.482421875,0.001234607434195123,2.7453878882948435,1,36
0.4833984375,-0.0009487115459163586,2.7463510392473407,-1,36
0.48291015625,0.00014294794413882705,2.7458697140856123,1,36
0.483154296875,-0.00040288180088898784,2.746110439228478,-1,36
0.4830322265625,-0.00012996692837474733,2.745990092299622,-1,36
0.48297119140625,6.490507882039864e-06,2.7459299071035215,1,36
0.483001708984375,-6.173821024657578e-05,2.7459600006792644,-1,36
0.4829864501953125,-2.762385118204591e-05,2.7459449541358207,-1,36
0.48297882080078125,-1.0566671649892001e-05,2.7459374306807787,-1,36
0.4829750061035156,-2.0380818839260684e-06,2.7459336689074267,-1,36
0.4829730987548828,2.2262129988348534e-06,2.745931788009293,1,36
0.4829740524291992,9.406555734337019e-08,2.745932728459315,1,36
0.4829745292663574,-9.720081630693045e-07,2.7459331986836095,-1,36
0.0,1.13222155670837,2.165271848423838,1,40
0.5,-0.04993341442578614,2.8019054402874675,-1,40
0.25,0.5411440711412918,2.5539618060221803,1,40
0.375,0.24560532835775217,2.6916945123802534,1,40
0.4375,0.09783595696598302,2.7500270098764346,1,40
0.46875,0.023951271270098884,2.776753849022779,1,40
0.484375,-0.012991071577843849,2.789524528715721,-1,40
0.4765625,0.0054800998461275174,2.7831881474709705,1,40
0.48046875,-0.0037554858658579438,2.7863685471292077,-1,40
0.478515625,0.0008623069901347868,2.7847814033276994,1,40
0.4794921875,-0.0014465894378621336,2.785575738760668,-1,40
0.47900390625,-0.00029214122386367336,2.785178761986347,-1,40
0.478759765625,0.00028508288313555674,2.7849801303999726,1,40
0.4788818359375,-3.529170363947287e-06,2.78507945812797,-1,40
0.47882080078125,0.00014077685638524962,2.785029797247789,1,40
0.478851318359375,6.862384301098423e-05,2.7850546284338193,1,40
0.4788665771484375,3.2547336323629494e-05,2.7850670434673788,1,40
