p_noise,trace_witness,label,round
0.36962890625,-0.0017928818149173797,1,64
0.369873046875,-0.0004819987169148998,1,64
0.3699951171875,0.00017344283208614586,-1,64
0.36993408203125,-0.0001542779424142382,1,64
0.369964599609375,9.582444835787296e-06,-1,64
0.3699493408203125,-7.234774878922545e-05,1,64
0.36995697021484375,-3.1382651976497034e-05,1,64
0.3699607849121094,-1.0900103570632425e-05,1,64
0.3699626922607422,-6.588293672282752e-07,1,64
0.3699636459350586,4.4618077343350215e-06,-1,64
0.3699631690979004,1.9014891835533732e-06,-1,64
0.0,-1.6815856660598767,1,68
0.5,0.9743898507955377,-1,68
0.25,-0.35359790763216936,1,68
0.375,0.3103959715816842,-1,68
0.3125,-0.02160096802524253,1,68
0.34375,0.1443975017782207,-1,68
0.328125,0.06139826687648897,-1,68
0.3203125,0.019898649425623305,-1,68
0.31640625,-0.0008511592998097228,1,68
0.318359375,0.009523745062906985,-1,68
0.3173828125,0.004336292881548409,-1,68
0.31689453125,0.0017425667908694265,-1,68
0.316650390625,0.00044570374552987957,-1,68
0.3165283203125,-0.00020272777713997714,1,68
0.31658935546875,0.00012148798419503448,-1,68
0.316558837890625,-4.061989647247133e-05,1,68
0.3165740966796875,4.04340438613926e-05,-1,68
0.31656646728515625,-9.292630548385361e-08,1,68
0.3165702819824219,2.0170558777954373e-05,-1,68
0.31656837463378906,1.0038816236124237e-05,-1,68
0.31656742095947266,4.972944965431214e-06,-1,68
0.31656694412231445,2.440009329918169e-06,-1,68
0.0,-0.21106876229432514,1,72
0.5,2.433870126179147,-1,72
0.25,1.111400681942411,-1,72
0.125,0.45016595982404284,-1,72
0.0625,0.11954859876485882,-1,72
0.03125,-0.0457600817647332,1,72
0.046875,0.03689425850006277,-1,72
0.0390625,-0.00443291163233513,1,72
0.04296875,0.01623067343386396,-1,72
0.041015625,0.00589888090076435,-1,72
0.0400390625,0.0007329846342146173,-1,72
0.03955078125,-0.001849963499060206,1,72
0.039794921875,-0.0005584894324229366,1,72
0.0399169921875,8.724760089592366e-05,-1,72
0.03985595703125,-0.0002356209157634761,1,72
0.039886474609375,-7.418665743382305e-05,1,72
0.0399017333984375,6.530471731054643e-06,-1,72
0.03989410400390625,-3.3828092851278385e-05,1,72
0.039897918701171875,-1.3648810560071972e-05,1,72
